date,action,price,btc,amount_usd,fee,signal,balance_btc,balance_fiat,profit_usd,profit_pct,cumulative_profit,cost_basis
2016-07-22,BUY,653.7049422632792,38.18618827260812,25000.0,37.50000000000001,buy,38.18618827260812,0.0,,,,
2017-05-25,SELL,2554.3666265091692,38.18618827260812,97541.524917146,146.31228737571902,sell,0.0,97395.21262977028,72395.21262977028,289.58085051908114,72395.21262977028,25000.0
2017-05-27,BUY,2098.111408500292,46.35078929404339,97395.21262977028,146.09281894465545,strong_buy,46.35078929404339,0.0,,,,
2017-06-01,SELL,2395.42416931587,46.35078929404339,111029.8009418188,166.54470141272822,sell,0.0,110863.25624040607,13468.043610635796,13.828239855928082,85863.25624040607,97395.21262977028
2017-06-26,BUY,2430.5013371518444,45.54490864249614,110863.25624040607,166.29488436060913,buy,45.54490864249614,0.0,,,,
2017-08-14,SELL,4199.143988191955,45.54490864249614,191249.6293188895,286.8744439783343,sell,0.0,190962.75487491116,80099.49863450509,72.25071800237399,165962.75487491116,110863.25624040607
2017-08-22,BUY,3896.5155848283925,48.935082278388066,190962.75487491116,286.4441323123668,buy,48.935082278388066,0.0,,,,
2017-12-05,SELL,11692.714629686072,48.935082278388066,572183.9524613997,858.2759286920997,sell,0.0,571325.6765327076,380362.9216577965,199.1817314883997,546325.6765327076,190962.75487491116
2018-01-17,BUY,10581.366693641863,53.91257146023416,571325.6765327076,856.9885147990615,buy,53.91257146023416,0.0,,,,
2018-01-20,SELL,12462.502564601495,53.91257146023416,671885.5600874296,1007.8283401311445,sell,0.0,670877.7317472985,99552.05521459086,17.424747268275738,645877.7317472985,571325.6765327076
2018-01-23,BUY,10666.182521183104,62.80329572640528,670877.7317472985,1006.3165976209478,buy,62.80329572640528,0.0,,,,
2018-05-05,SELL,9838.951646813213,62.80329572640528,617918.5899126125,926.8778848689187,sell,0.0,616991.7120277436,-53886.019719554926,-8.032166991026665,591991.7120277436,670877.7317472985
2019-03-01,BUY,3812.710159231478,161.58223382599883,616991.7120277436,925.4875680416154,buy,161.58223382599883,0.0,,,,
2019-03-20,SELL,3994.249818004335,161.58223382599883,645399.8080522297,968.0997120783447,sell,0.0,644431.7083401514,27439.996312407777,4.447384912550318,619431.7083401514,616991.7120277436
2019-11-24,BUY,7113.826436977516,90.45273545513054,644431.7083401514,966.6475625102271,buy,90.45273545513054,0.0,,,,
2020-02-09,SELL,10085.300511568332,90.45273545513054,912243.019158383,1368.3645287375746,sell,0.0,910874.6546296454,266442.94628949405,41.345412219979885,885874.6546296454,644431.7083401514
2020-02-20,BUY,9570.200266999846,95.03545560941767,910874.6546296454,1366.3119819444682,buy,95.03545560941767,0.0,,,,
2020-05-18,SELL,9707.092380439299,95.03545560941767,922517.9470177555,1383.7769205266334,sell,0.0,921134.1700972288,10259.515467583435,1.1263366935766672,896134.1700972288,910874.6546296454
2020-06-18,BUY,9390.698614937513,97.9429227319743,921134.1700972288,1381.7012551458436,buy,97.9429227319743,0.0,,,,
2021-01-09,SELL,40320.207761791724,97.9429227319743,3949078.9933503177,5923.6184900254775,sell,0.0,3943155.3748602923,3022021.204763063,328.07611560475266,3918155.3748602923,921134.1700972288
2021-01-11,BUY,33966.18093223914,115.91649498813548,3943155.3748602923,5914.73306229044,strong_buy,115.91649498813548,0.0,,,,
2021-02-09,SELL,46656.595742599166,115.91649498813548,5408269.04656046,8112.4035698406915,strong_sell,0.0,5400156.642990619,1457001.2681303266,36.95013585869537,5375156.642990619,3943155.3748602923
2021-05-19,BUY,37997.75926037904,141.90458892791946,5400156.642990619,8100.23496448593,buy,141.90458892791946,0.0,,,,
2021-10-15,SELL,60238.52815852205,141.90458892791946,8548123.575957973,12822.18536393696,sell,0.0,8535301.390594035,3135144.7476034164,58.05655196452165,8510301.390594035,5400156.642990619
2021-12-10,BUY,48379.08823529412,176.16079073376798,8535301.390594035,12802.952085891055,buy,176.16079073376798,0.0,,,,
2021-12-22,SELL,51117.26633165829,176.16079073376798,9004858.05713354,13507.287085700313,sell,0.0,8991350.77004784,456049.37945380434,5.343096378018638,8966350.77004784,8535301.390594035
2022-01-21,BUY,38624.090825446896,232.44207312131317,8991350.77004784,13487.026155071762,buy,232.44207312131317,0.0,,,,
2022-02-05,SELL,41857.25,232.44207312131317,9729385.965157086,14594.078947735632,sell,0.0,9714791.88620935,723441.1161615103,8.045967003883902,9689791.88620935,8991350.77004784
2022-05-12,BUY,28311.444444444445,342.6253901461926,9714791.88620935,14572.187829314027,strong_buy,342.6253901461926,0.0,,,,
2022-05-20,SELL,30523.6,342.6253901461926,10458160.358666325,15687.240537999489,sell,0.0,10442473.118128326,727681.2319189757,7.4904459142553215,10417473.118128326,9714791.88620935
2022-06-15,BUY,21143.891114182352,493.13578811694254,10442473.118128326,15663.709677192492,buy,493.13578811694254,0.0,,,,
2022-07-09,SELL,21700.25,493.13578811694254,10701169.886084681,16051.754829127025,sell,0.0,10685118.131255554,242645.01312722825,2.3236355064777907,10660118.131255554,10442473.118128326
2022-11-10,BUY,17194.6765732471,620.4879986320025,10685118.131255554,16027.677196883333,buy,620.4879986320025,0.0,,,,
2023-01-22,SELL,23325.68181818182,620.4879986320025,14473305.628090525,21709.958442135787,sell,0.0,14451595.669648388,3766477.5383928344,35.24975102872592,14426595.669648388,10685118.131255554
2023-02-10,BUY,22074.5,653.6917382565365,14451595.669648388,21677.393504472584,buy,653.6917382565365,0.0,,,,
2023-03-23,SELL,28433.25,653.6917382565365,18586580.616782665,27879.870925174,sell,0.0,18558700.745857492,4107105.0762091037,28.419734194715613,18533700.745857492,14451595.669648388
2023-04-21,BUY,28272.5,655.4377113710746,18558700.745857492,27838.051118786243,buy,655.4377113710746,0.0,,,,
2023-05-29,SELL,28283.0,655.4377113710746,18537744.790708102,27806.617186062158,sell,0.0,18509938.17352204,-48762.57233545184,-0.26274776991776316,18484938.17352204,18558700.745857492
2023-08-25,BUY,26006.556046383215,710.6736175792915,18509938.17352204,27764.907260283064,buy,710.6736175792915,0.0,,,,
2024-04-01,SELL,74109.0,710.6736175792915,52667311.12518372,79000.9666877756,strong_sell,0.0,52588310.15849594,34078371.9849739,184.10851330515018,52563310.15849594,18509938.17352204
2024-05-01,BUY,57992.404589331825,905.4535342188196,52588310.15849594,78882.46523774392,strong_buy,905.4535342188196,0.0,,,,
2024-05-20,SELL,70259.0,905.4535342188196,63616259.86068005,95424.3897910201,sell,0.0,63520835.47088903,10932525.312393092,20.7888887843012,63495835.47088903,52588310.15849594
2024-07-04,BUY,58969.0,1075.5745258980598,63520835.47088903,95281.25320633355,buy,1075.5745258980598,0.0,,,,
2024-11-19,SELL,92351.08585920076,1075.5745258980598,99330475.38918087,148995.71308377132,sell,0.0,99181479.6760971,35660644.20520806,56.14007426201278,99156479.6760971,63520835.47088903
2025-02-28,BUY,82552.0,1199.6403170920505,99181479.6760971,148772.21951414566,buy,1199.6403170920505,0.0,,,,
2025-03-24,SELL,87389.99863954527,1199.6403170920505,104836565.67861795,157254.84851792696,sell,0.0,104679310.83010003,5497831.154002935,5.543203400430738,104654310.83010003,99181479.6760971
2025-08-29,BUY,109846.2333225688,951.5327808912673,104679310.83010003,157018.96624515008,buy,951.5327808912673,0.0,,,,
2025-09-11,SELL,114227.54464300838,951.5327808912673,108691253.20854315,163036.87981281473,sell,0.0,108528216.32873033,3848905.4986303,3.6768540680185353,108503216.32873033,104679310.83010003
2025-11-21,BUY,84325.36440203081,1285.0869340758813,108528216.32873033,162792.3244930955,buy,1285.0869340758813,0.0,,,,
2025-12-03,SELL,92898.03058317353,1285.0869340758813,119382045.30381793,179073.0679557269,sell,0.0,119202972.2358622,10674755.907131866,9.835926792345127,119177972.2358622,108528216.32873033
